Job_Title,Company,Location,Summary,Jobs_Description,Salary
"Java Developer
new",Larsen & Toubro Infotech Limited,"Tampa, FL","Required Skills /Qualifications: • Strong verbal and written communication • Goal, Client and deadline oriented • Strong analytical and problem solving •…","Required Skills /Qualifications: • Strong verbal and written communication • Goal, Client and deadline oriented • Strong analytical and problem solving • Ability to work on multiple projects concurrently and meet deadlines • Ability to work with globally distributed teams Technical skills: • Solid 3-5 years of experience with Java, Springboot and Microservices development • Experience building Distributed / Service Oriented / Microservice-style and cloud based architectures • Hands on experience with Jenkins, TeamCity, Sonar Cube, BitBucket • Strong understanding of different storage architectures and their appropriate application. • Experience in software development SDLC (Agile) • Excellent knowledge of Multithreading, Thread-Pools with strong OOP and OOAD skills • Experienced in developing real time low latency applications • Exposure to or experience in message driven architectures",
Java Developer,NXLog,United States,"Java/J2EE and various technologies in this ecosystem (JSP, Spring, JDBC, Hibernate, Maven, Tomcat, etc.),.
Knows how to write web services (SOAP, REST, AJAX,…","Required Skills /Qualifications: • Strong verbal and written communication • Goal, Client and deadline oriented • Strong analytical and problem solving • Ability to work on multiple projects concurrently and meet deadlines • Ability to work with globally distributed teams Technical skills: • Solid 3-5 years of experience with Java, Springboot and Microservices development • Experience building Distributed / Service Oriented / Microservice-style and cloud based architectures • Hands on experience with Jenkins, TeamCity, Sonar Cube, BitBucket • Strong understanding of different storage architectures and their appropriate application. • Experience in software development SDLC (Agile) • Excellent knowledge of Multithreading, Thread-Pools with strong OOP and OOAD skills • Experienced in developing real time low latency applications • Exposure to or experience in message driven architectures",
Entry Level Java Developer,itech informatix,"Union City, CA","Bachelors, Masters in Computer Science/ Computer Engineering/ Information Systems/Information Technology/ Electrical Engineering/ Mechanical Engineering.","Required Skills /Qualifications: • Strong verbal and written communication • Goal, Client and deadline oriented • Strong analytical and problem solving • Ability to work on multiple projects concurrently and meet deadlines • Ability to work with globally distributed teams Technical skills: • Solid 3-5 years of experience with Java, Springboot and Microservices development • Experience building Distributed / Service Oriented / Microservice-style and cloud based architectures • Hands on experience with Jenkins, TeamCity, Sonar Cube, BitBucket • Strong understanding of different storage architectures and their appropriate application. • Experience in software development SDLC (Agile) • Excellent knowledge of Multithreading, Thread-Pools with strong OOP and OOAD skills • Experienced in developing real time low latency applications • Exposure to or experience in message driven architectures",
"Typescript Developer
new",SSI,"Pittsburgh, PA","This is a contract to hire role.
Will work remote to start then must be on site in Pittsburgh once restrictions are lifted.
4 year formal degree required.","Required Skills /Qualifications: • Strong verbal and written communication • Goal, Client and deadline oriented • Strong analytical and problem solving • Ability to work on multiple projects concurrently and meet deadlines • Ability to work with globally distributed teams Technical skills: • Solid 3-5 years of experience with Java, Springboot and Microservices development • Experience building Distributed / Service Oriented / Microservice-style and cloud based architectures • Hands on experience with Jenkins, TeamCity, Sonar Cube, BitBucket • Strong understanding of different storage architectures and their appropriate application. • Experience in software development SDLC (Agile) • Excellent knowledge of Multithreading, Thread-Pools with strong OOP and OOAD skills • Experienced in developing real time low latency applications • Exposure to or experience in message driven architectures","$80,000 - $85,000 a year"
Principal Java Developer,"1819, LLC","Philadelphia, PA 19103","Quil serves patients, members, and their caregivers and partners with healthcare providers and health plans nationally.","Required Skills /Qualifications: • Strong verbal and written communication • Goal, Client and deadline oriented • Strong analytical and problem solving • Ability to work on multiple projects concurrently and meet deadlines • Ability to work with globally distributed teams Technical skills: • Solid 3-5 years of experience with Java, Springboot and Microservices development • Experience building Distributed / Service Oriented / Microservice-style and cloud based architectures • Hands on experience with Jenkins, TeamCity, Sonar Cube, BitBucket • Strong understanding of different storage architectures and their appropriate application. • Experience in software development SDLC (Agile) • Excellent knowledge of Multithreading, Thread-Pools with strong OOP and OOAD skills • Experienced in developing real time low latency applications • Exposure to or experience in message driven architectures",
JR. Java Developer,Plasma Computing Group,"Dallas, TX","Work together with other developers to produce optimal outcomes.
Java developer position will help analyze user needs and define site objectives.","Required Skills /Qualifications: • Strong verbal and written communication • Goal, Client and deadline oriented • Strong analytical and problem solving • Ability to work on multiple projects concurrently and meet deadlines • Ability to work with globally distributed teams Technical skills: • Solid 3-5 years of experience with Java, Springboot and Microservices development • Experience building Distributed / Service Oriented / Microservice-style and cloud based architectures • Hands on experience with Jenkins, TeamCity, Sonar Cube, BitBucket • Strong understanding of different storage architectures and their appropriate application. • Experience in software development SDLC (Agile) • Excellent knowledge of Multithreading, Thread-Pools with strong OOP and OOAD skills • Experienced in developing real time low latency applications • Exposure to or experience in message driven architectures",
Jr. Java Developer,Netrist,"Charleston, SC","Work under the direction of lead developers on complex project issues, and problems.
By working with our talented mentors, you will gain experience in open…","Required Skills /Qualifications: • Strong verbal and written communication • Goal, Client and deadline oriented • Strong analytical and problem solving • Ability to work on multiple projects concurrently and meet deadlines • Ability to work with globally distributed teams Technical skills: • Solid 3-5 years of experience with Java, Springboot and Microservices development • Experience building Distributed / Service Oriented / Microservice-style and cloud based architectures • Hands on experience with Jenkins, TeamCity, Sonar Cube, BitBucket • Strong understanding of different storage architectures and their appropriate application. • Experience in software development SDLC (Agile) • Excellent knowledge of Multithreading, Thread-Pools with strong OOP and OOAD skills • Experienced in developing real time low latency applications • Exposure to or experience in message driven architectures",
Jr Java Developer,Global Data Management Inc.,"Woodbridge, NJ 07095",Looking for a developer in Java/J2EE with Spring having an extensive experience in development with good working knowledge of AngularJS and Bootstrap.,"Required Skills /Qualifications: • Strong verbal and written communication • Goal, Client and deadline oriented • Strong analytical and problem solving • Ability to work on multiple projects concurrently and meet deadlines • Ability to work with globally distributed teams Technical skills: • Solid 3-5 years of experience with Java, Springboot and Microservices development • Experience building Distributed / Service Oriented / Microservice-style and cloud based architectures • Hands on experience with Jenkins, TeamCity, Sonar Cube, BitBucket • Strong understanding of different storage architectures and their appropriate application. • Experience in software development SDLC (Agile) • Excellent knowledge of Multithreading, Thread-Pools with strong OOP and OOAD skills • Experienced in developing real time low latency applications • Exposure to or experience in message driven architectures",
"Quantitative Software Developer (Java)
new",Federal Reserve Bank of New York,"New York, NY 10038 (Financial District area)","Federal Reserve Bank of New York.
Full-time / Part-time Full-time.
Your role as Quantitative Software Developer (Java):
Experience with AWS is a big plus.","Required Skills /Qualifications: • Strong verbal and written communication • Goal, Client and deadline oriented • Strong analytical and problem solving • Ability to work on multiple projects concurrently and meet deadlines • Ability to work with globally distributed teams Technical skills: • Solid 3-5 years of experience with Java, Springboot and Microservices development • Experience building Distributed / Service Oriented / Microservice-style and cloud based architectures • Hands on experience with Jenkins, TeamCity, Sonar Cube, BitBucket • Strong understanding of different storage architectures and their appropriate application. • Experience in software development SDLC (Agile) • Excellent knowledge of Multithreading, Thread-Pools with strong OOP and OOAD skills • Experienced in developing real time low latency applications • Exposure to or experience in message driven architectures",
Sr. Java Developer,svprofessionals,United States,"Plans and coordinates preparation of project documentation, such as engineering drawings, production specifications and schedules, and contract modifications,…","Required Skills /Qualifications: • Strong verbal and written communication • Goal, Client and deadline oriented • Strong analytical and problem solving • Ability to work on multiple projects concurrently and meet deadlines • Ability to work with globally distributed teams Technical skills: • Solid 3-5 years of experience with Java, Springboot and Microservices development • Experience building Distributed / Service Oriented / Microservice-style and cloud based architectures • Hands on experience with Jenkins, TeamCity, Sonar Cube, BitBucket • Strong understanding of different storage architectures and their appropriate application. • Experience in software development SDLC (Agile) • Excellent knowledge of Multithreading, Thread-Pools with strong OOP and OOAD skills • Experienced in developing real time low latency applications • Exposure to or experience in message driven architectures",
